ID,Name,Address,Phone,WeChat,Email,Profession,Age,Risk Status,Registration Time,Withdraw,Priority Letter,Local Registry ID,Hopsital ID
9531052050,Jqgt,Xiashi,68825606194,wxid_klq257mpsvezip,3336808638@163.com,Teacher,Senior,High risk,2022-1-1 00:12,0,0,2,012
3555235374,Tnwrkgie,Haichang,04361458163,wxid_7l4qvs2bnksqkp,2790835961@163.com,Student,Elderly Person,High risk,2022-1-1 02:12,0,0,0,1
2193038009,Xxgqpsb,Maqiao,36324966325,wxid_qi4yakr07xupgw,6208626450@sina.com,Programmer,Children,Medium risk,2022-1-1 04:36,0,0,2,210
0899036388,Xkac,Haizhou,25658455574,wxid_wd8u6gweff5ecz,8436591268@163.com,Actor,Young Adult,Medium risk,2022-1-1 05:24,0,0,0,20
0609409058,Kwfv,Maqiao,31704133188,wxid_p7phn0mjvelhiw,4956382810@qq.com,Journalist,Adult,Low risk,2022-1-1 07:12,0,0,1,012
end of half day
3275921125,Qeciyard,Xiashi,25311080590,wxid_q54yanrfdpv7qj,0783081133@sina.com,Businessman,Elderly Person,No risk,2022-1-1 13:6,0,0,0,1
7846946402,Plqld,Haichang,31896694490,wxid_ejreu4pz3eisgr,0039890449@sina.com,Journalist,Children,Medium risk,2022-1-1 18:24,0,0,1,1
3640406740,Cpmikds,Haichang,36143460889,wxid_c0lofxtx5h2pnc,5639988088@sina.com,Farmer,Adult,No risk,2022-1-1 19:30,0,0,1,201
end of half day
6155013883,Pzmtr,Haichang,48628155404,wxid_bmq1l7fesafh2d,3875603263@qq.com,Actor,Elderly Person,No risk,2022-1-2 03:36,0,0,2,120
1632411549,Clzmka,Haichang,25818301258,wxid_y90lg2yhnzpaqv,4887638753@qq.com,Teacher,Adolescent,Low risk,2022-1-2 05:30,0,0,1,102
5380954953,Zcncc,Maqiao,57685133466,wxid_bwczyrba10af3b,5575009367@sina.com,Businessman,Children,Low risk,2022-1-2 06:12,0,0,0,20
6284800393,Klryh,Haizhou,15791800625,wxid_t5ttmltux5ko7j,9570970134@qq.com,Farmer,Children,No risk,2022-1-2 07:30,0,0,0,02
9531052050,Jqgt,Xiashi,68825606194,wxid_klq257mpsvezip,3336808638@163.com,Teacher,Senior,High risk,2022-1-1 00:12,1,0,2,012
0899036388,Xkac,Haizhou,25658455574,wxid_wd8u6gweff5ecz,8436591268@163.com,Actor,Young Adult,Medium risk,2022-1-1 05:24,0,1,0,20
3275921125,Qeciyard,Xiashi,25311080590,wxid_q54yanrfdpv7qj,0783081133@sina.com,Actor,Elderly Person,No risk,2022-1-1 13:6,0,0,0,1
3275921125,Qeciyard,Xiashi,25311080590,wxid_q54yanrfdpv7qj,0783081133@sina.com,Actor,Elderly Person,No risk,2022-1-1 13:6,1,0,0,1
0609409058,Kwfv,Maqiao,31704133188,wxid_p7phn0mjvelhiw,4956382810@qq.com,Journalist,Adult,High risk,2022-1-1 07:12,0,0,1,012
0609409058,Kwfv,Maqiao,31704133188,wxid_p7phn0mjvelhiw,4956382810@qq.com,Journalist,Adult,High risk,2022-1-1 07:12,1,0,1,012
end of half day
5809198205,Qfrb,Haichang,28121524783,wxid_g8a5x5izxwdhza,7899263653@gmail.com,Journalist,Old Person,No risk,2022-1-2 15:00,0,0,1,2
6206355598,Kgos,Haizhou,43557342445,wxid_eh5svuio2skvcj,1599223669@163.com,Teacher,Adolescent,Medium risk,2022-1-2 18:24,0,0,0,2
0052270767,Spqw,Haichang,81425409465,wxid_l61uvxkupkyh2a,1563226282@sina.com,Farmer,Old Person,Medium risk,2022-1-2 18:48,0,0,1,10
9789823682,Geufh,Haichang,39977901936,wxid_dffbl1gvixwe3o,8905828013@qq.com,Student,Elderly Person,Low risk,2022-1-2 20:24,0,0,2,1
0855783680,Fnjbmcau,Maqiao,29148730996,wxid_yevb30bke4nloi,4571344553@sina.com,Businessman,Adult,No risk,2022-1-2 22:42,0,0,2,210
8783222188,Uphvhc,Maqiao,33067126913,wxid_4nqeun4x8jmpov,1849571364@163.com,Businessman,Young Adult,Medium risk,2022-1-2 23:00,0,0,0,201
9531052050,Jqgt,Xiashi,68825606194,wxid_klq257mpsvezip,3336808638@163.com,Teacher,Senior,High risk,2022-1-2 23:12,0,0,2,012
end of half day
1647411000,Gkhcngih,Haichang,98934022645,wxid_u9kwdrfk5yif5i,0553978432@gmail.com,Programmer,Senior,No risk,2022-1-3 02:48,0,0,2,021
3626687471,Iuind,Maqiao,14934000286,wxid_9mbpgkcjuxzu5u,0463886124@sina.com,Actor,Senior,Low risk,2022-1-3 04:24,0,0,0,10
9125991947,Csffvnq,Xiashi,65375926739,wxid_yv25a6ssghddmu,1100893466@gmail.com,Journalist,Old Person,Medium risk,2022-1-3 04:54,0,0,0,21
7256120634,Higo,Haizhou,16937498676,wxid_t9jdqrl0zyj3jg,4219988967@gmail.com,Journalist,Old Person,No risk,2022-1-3 07:00,0,0,0,2
7482467285,Khvnku,Haizhou,01742644720,wxid_2wbps8bobwaxwz,5492978560@qq.com,Journalist,Young Adult,Low risk,2022-1-3 07:24,0,0,1,02
6990752770,Hfqknoda,Maqiao,75534219333,wxid_e0foiwtk3w6syd,7693234168@163.com,Teacher,Adolescent,No risk,2022-1-3 10:48,0,0,0,021
8826815870,Ktyeh,Haizhou,56418821660,wxid_xzrbsphzc13i3x,8972084161@sina.com,Teacher,Elderly Person,High risk,2022-1-3 11:24,0,0,1,12
end of half day
7572812255,Oyrqtd,Xiashi,75098354248,wxid_2tma7cwsq4hnmv,1770705151@sina.com,Programmer,Adolescent,High risk,2022-1-3 17:18,0,0,1,12
0675813701,Vtuwfzfo,Xiashi,26138910497,wxid_d5xbxy2ot3aomo,5550363533@163.com,Journalist,Senior,Low risk,2022-1-3 21:54,0,0,0,2
4069450971,Ggncw,Maqiao,52844802343,wxid_svwxdjbapo3d5s,0317917361@gmail.com,Engineer,Adolescent,Low risk,2022-1-3 22:24,0,0,0,201
1694409251,Ungdb,Haichang,30096977382,wxid_u4klnsq1mv7dpn,2611238188@qq.com,Engineer,Adolescent,No risk,2022-1-3 23:42,0,0,2,021
7624227049,Hwrt,Haizhou,00650452589,wxid_dqrj96chxl4hzt,8653628098@sina.com,Journalist,Adult,Medium risk,2022-1-3 23:42,0,0,1,01
end of half day
4130613024,Hqhw,Haizhou,62885335393,wxid_yoeswuz9d94cis,6836569000@gmail.com,Engineer,Old Person,High risk,2022-1-4 02:30,0,0,2,0
9538721777,Qfjd,Xiashi,89326223152,wxid_jo4uklf46hpitk,2294136663@qq.com,Journalist,Elderly Person,High risk,2022-1-4 04:48,0,0,0,102
5456830244,Bqod,Xiashi,22176042783,wxid_gczpb389qleqaq,5625329599@163.com,Businessman,Old Person,High risk,2022-1-4 05:18,0,0,1,1
7476113557,Zbcf,Haichang,06798742763,wxid_tm6f5cjwbodg5u,5246242519@qq.com,Actor,Children,High risk,2022-1-4 08:00,0,0,0,1
6600200245,Funmddmf,Haichang,79207467351,wxid_zq0lv2abjgttkh,4944602548@sina.com,Programmer,Adult,Medium risk,2022-1-4 09:6,0,0,0,0
end of half day
2604323041,Dfsayxxb,Haichang,82964900941,wxid_kvs7w5kzvyznnn,8276866872@sina.com,Teacher,Young Adult,Low risk,2022-1-4 13:12,0,0,0,210
2444315524,Vchfq,Haichang,29509916369,wxid_has1eb6xw6lydu,0610723350@163.com,Programmer,Children,Low risk,2022-1-4 15:00,0,0,2,02
3864004787,Zszg,Maqiao,40802115467,wxid_0edvo6w7vtzxav,2174387043@qq.com,Farmer,Old Person,Low risk,2022-1-4 15:24,0,0,0,1
9962784810,Cued,Xiashi,46024836771,wxid_l1lkm3prjoemur,7149743312@qq.com,Student,Children,Low risk,2022-1-4 15:54,0,0,0,0
7553878560,Zhuu,Maqiao,92496359198,wxid_rcxmw8i0fogz1a,8569394216@163.com,Engineer,Children,Medium risk,2022-1-4 16:00,0,0,1,01
3747909297,Liyc,Xiashi,11830155104,wxid_mgflsol8z65vvr,1557562392@sina.com,Programmer,Young Adult,Low risk,2022-1-4 16:18,0,0,2,2
end of half day
5803522655,Xcfq,Haizhou,50129534617,wxid_k9gbmigdic08hi,6531404067@gmail.com,Farmer,Young Adult,High risk,2022-1-5 02:18,0,0,0,10
7515675876,Fpgrerj,Haichang,18260868208,wxid_qz0xt2oe8sgtji,3829808940@gmail.com,Actor,Young Adult,Medium risk,2022-1-5 04:36,0,0,2,21
9490434504,Yflpwiwj,Xiashi,48505729907,wxid_p95ekrdvqu5ntb,9071743766@qq.com,Businessman,Adult,High risk,2022-1-5 09:00,0,0,0,0
1161978921,Njvutvv,Haichang,37261768030,wxid_or9jlq0ggrcq0x,3941249062@sina.com,Programmer,Adult,Medium risk,2022-1-5 10:24,0,0,0,210
8851488221,Rpvmz,Xiashi,88906641801,wxid_oc7wt5ispl8rce,6076833133@sina.com,Student,Senior,No risk,2022-1-5 10:48,0,0,2,1
end of half day
5626454748,Bfoen,Xiashi,56939958572,wxid_j1meu2ij3ufagf,8621716796@sina.com,Engineer,Children,Low risk,2022-1-5 12:30,0,0,0,0
1572280495,Yzyoytt,Maqiao,71244878549,wxid_98nmclixkh2fpe,1026415589@163.com,Programmer,Senior,High risk,2022-1-5 13:30,0,0,2,1
2597133530,Dbpm,Haizhou,38297482133,wxid_xzgyy4q8mcc6lf,9888839244@163.com,Teacher,Children,Medium risk,2022-1-5 14:12,0,0,1,21
0889456649,Mvgrck,Haizhou,83443405583,wxid_8hsonjq6xv6qaq,8105567035@gmail.com,Teacher,Senior,No risk,2022-1-5 14:18,0,0,2,012
8970506826,Oocriye,Haichang,37770863542,wxid_lilqbvofm896sp,3050267711@qq.com,Journalist,Young Adult,High risk,2022-1-5 16:00,0,0,2,01
4950378230,Kppkjv,Xiashi,59459807034,wxid_yykqqwzn22q8wr,9224107000@sina.com,Farmer,Old Person,High risk,2022-1-5 20:00,0,0,2,210
end of half day
4080738986,Dmdui,Haichang,93325546103,wxid_px6f0rz6uomyah,1913569179@gmail.com,Programmer,Young Adult,High risk,2022-1-6 00:48,0,0,2,210
6143166239,Kfumz,Maqiao,33983776919,wxid_j1bwey32kyfuqs,5433921744@163.com,Actor,Senior,Medium risk,2022-1-6 01:6,0,0,0,21
3683542390,Oyije,Maqiao,82646395755,wxid_cd62belhsoh7hs,0046695362@gmail.com,Journalist,Elderly Person,High risk,2022-1-6 04:6,0,0,1,102
8512280742,Xeiis,Maqiao,96555295014,wxid_hg1lk12dwjohcs,0288907718@gmail.com,Journalist,Adult,Low risk,2022-1-6 05:18,0,0,0,20
8752045267,Lnwm,Maqiao,02665083043,wxid_ml193xpalzhozw,5272802308@163.com,Student,Adolescent,High risk,2022-1-6 08:48,0,0,0,0
end of half day
1420509382,Ppqz,Haizhou,18306542684,wxid_xggrzw0y2ize2y,3653229689@163.com,Programmer,Adolescent,Low risk,2022-1-6 14:30,0,0,2,021
7072109467,Bmbgrpmx,Haizhou,08446009147,wxid_wko53eraf9qvyg,8494395219@gmail.com,Actor,Old Person,High risk,2022-1-6 16:36,0,0,2,0
4900336027,Yrqx,Haizhou,09400507311,wxid_8bkizbby0zllqk,1643695657@gmail.com,Farmer,Young Adult,Low risk,2022-1-6 17:18,0,0,0,02
5411701610,Lbpkiuzw,Xiashi,01198384495,wxid_43ybgsbf2qxzat,7636786337@qq.com,Engineer,Young Adult,No risk,2022-1-6 21:00,0,0,1,012
end of half day
8846209460,Axlqjfx,Maqiao,22132507751,wxid_p038vehsgtwwnb,1716998785@163.com,Actor,Elderly Person,Low risk,2022-1-7 05:30,0,0,2,1
4649941425,Kbicjeno,Maqiao,39127381273,wxid_pa6ulrhzb06avr,1774502839@gmail.com,Farmer,Senior,No risk,2022-1-7 06:18,0,0,0,210
4978623508,Otmb,Xiashi,94920705526,wxid_sz9f8sreirlxiz,9881053605@163.com,Actor,Adult,Medium risk,2022-1-7 08:36,0,0,1,21
5497837324,Qbpssdrx,Haizhou,72741723106,wxid_zpbsk4ljx6r7nn,3760942474@163.com,Actor,Senior,High risk,2022-1-7 09:36,0,0,2,102
9445483126,Mvfdgxo,Haizhou,63748512089,wxid_sluy2dxh3jf6ws,2498569789@qq.com,Programmer,Senior,Low risk,2022-1-7 11:24,0,0,2,21
2830519382,Vxrbhyzq,Xiashi,67489263858,wxid_rqtszuupp67m3j,4772620108@163.com,Businessman,Elderly Person,High risk,2022-1-7 11:48,0,0,2,2
end of half day
9435680470,Yduxzcfd,Haichang,30099790894,wxid_tsu1t9vwwkywzo,4816995994@qq.com,Farmer,Children,No risk,2022-1-7 14:30,0,0,2,1
2917805931,Emrblst,Haichang,96066566498,wxid_auctxoo84uiffy,0268114755@gmail.com,Journalist,Young Adult,No risk,2022-1-7 15:00,0,0,2,012
3978091009,Xxwlhynm,Xiashi,64885790907,wxid_0r55zpynodlyrt,3642211423@gmail.com,Businessman,Young Adult,No risk,2022-1-7 15:42,0,0,2,21
4732600426,Avwbmfef,Haichang,31848689496,wxid_yaezpk2wmaas9a,5071859000@qq.com,Journalist,Adolescent,High risk,2022-1-7 23:24,0,0,2,01
end of half day
7637320308,Pulhwznf,Haichang,51774206831,wxid_vqjcm81s9okijz,6283633516@163.com,Farmer,Young Adult,Low risk,2022-1-8 02:30,0,0,0,2
1892550155,Skof,Xiashi,45200855319,wxid_cw0si0inynyh2x,6438535267@sina.com,Student,Senior,Low risk,2022-1-8 03:48,0,0,2,120
6118775296,Qrdixt,Haizhou,78381654146,wxid_m3ef2oclf2wwzz,1889946352@163.com,Businessman,Senior,No risk,2022-1-8 04:6,0,0,0,1
